,Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
77,1990-03-19,,168.0841530054645,11.6912568306011,23.265027322404364,96.9562841530054,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-19 Illinois DuPage
78,1990-03-20,,160.72513661202186,11.240437158469952,23.63114754098359,98.48633879781416,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-20 Illinois DuPage
79,1990-03-21,,152.6548913043478,12.51902173913044,23.230978260869566,96.8179347826087,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-21 Illinois DuPage
80,1990-03-22,,156.33629032258068,12.182795698924734,23.709677419354826,98.79569892473114,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-22 Illinois DuPage
81,1990-03-23,,156.81189189189183,11.748648648648652,23.491891891891875,97.89729729729726,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-23 Illinois DuPage
82,1990-03-24,,165.78228571428588,11.311428571428582,23.66571428571428,98.61428571428564,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-24 Illinois DuPage
83,1990-03-25,,160.1695530726255,11.701117318435752,23.48044692737429,97.84357541899436,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-25 Illinois DuPage
84,1990-03-26,,167.5607046070461,12.0189701897019,23.327913279132783,97.21951219512198,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-26 Illinois DuPage
85,1990-03-27,,155.93837837837827,12.7027027027027,23.13783783783784,96.4216216216216,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-27 Illinois DuPage
86,1990-03-28,,146.48736263736262,12.126373626373626,23.41758241758242,97.58791208791207,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-28 Illinois DuPage
87,1990-03-29,,148.56202185792324,10.226775956284152,23.6448087431694,98.53825136612024,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-29 Illinois DuPage
88,1990-03-30,,150.70516304347817,12.54347826086956,23.519021739130427,98.01630434782618,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-30 Illinois DuPage
89,1990-03-31,,156.96758241758266,10.15659340659341,23.620879120879117,98.43406593406598,Illinois,DuPage,Lisle,Illinois DuPage,1990-03-31 Illinois DuPage
90,1990-04-01,,161.07087912087894,12.252747252747255,23.47252747252749,97.80219780219782,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-01 Illinois DuPage
91,1990-04-02,,172.23406593406594,13.140109890109894,23.47252747252745,97.82142857142856,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-02 Illinois DuPage
